split_type,model_name,fraction,seed,test_mse,test_cross_entropy
parameter_amb,pt5,0.98,42,0.053597545052274764,0.6933051061419694
parameter_amb,ev,1.0,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,1.0,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,1.0,42,0.054017941563875606,0.6941482489272156
parameter_amb,pt5,1.0,42,0.05360048898644309,0.6933109969888535
parameter_ev_extreme,ev,0.02,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.02,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.02,42,0.05094272384200917,0.6938284607580536
parameter_ev_extreme,pt5,0.02,42,0.0506585103676615,0.693259918273868
parameter_ev_extreme,ev,0.04,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.04,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.04,42,0.0508698909397291,0.6936828841120024
parameter_ev_extreme,pt5,0.04,42,0.050629348813873556,0.6932015698022459
parameter_ev_extreme,ev,0.06,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.06,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.06,42,0.05129804563763493,0.6945399700899717
parameter_ev_extreme,pt5,0.06,42,0.050656592149904055,0.6932560984557153
parameter_ev_extreme,ev,0.08,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.08,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.08,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt5,0.08,42,0.050656592149904055,0.6932560984557153
parameter_ev_extreme,ev,0.1,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.1,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.1,42,0.050915771656617974,0.6937745783638946
parameter_ev_extreme,pt5,0.1,42,0.050604404214277095,0.6931518592978393
parameter_ev_extreme,ev,0.12,42,0.07099112187176325,0.7382803868530771
parameter_ev_extreme,eu,0.12,42,0.05088037978888617,0.6937049508295661
parameter_ev_extreme,pt3,0.12,42,0.05095411523193524,0.6938512382324508
